Date of Final Decision,Submission Number ,Device,Company,Panel (lead),Primary Product Code,product_code,medical_specialty_description,device_class,device_name,definition
2024-09-09,K240697,"See-Mode Augmented Reporting Tool, Thyroid (SMART-T)",See-Mode Technologies Pte. Ltd.,Radiology,QDQ,QDQ,Radiology,2,Radiological Computer Assisted Detection/Diagnosis Software For Lesions Suspicious For Cancer,"A radiological computer assisted detection and diagnostic software for suspected lesions is an image processing device intended to aid in the detection, localization, and characterization of lesions suspicious for cancer on acquired medical images (e.g., mammography , MR, CT, ultrasound, radiography). The device detects, identifies and characterizes lesions suspicious for cancer based on features or information extracted from the images, and may provide information about the presence, location, and characteristics of the lesion to the user. Primary diagnostic and patient management decisions are made by the clinical user."
2024-09-09,K241681,Overjet Image Enhancement Assist,Overjet Inc,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-09-09,K240791,ADAS 3D,Adas3D Medical S.L,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-09-06,K240411,uAI Portal,"Shanghai United Imaging Intelligence Co., Ltd.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-09-05,K233998,TRAQinform IQ,"AIQ Global, Inc.",Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2024-09-04,K233977,Velacur,Sonic Incytes,Radiology,IYO,IYO,Radiology,2,"System, Imaging, Pulsed Echo, Ultrasonic",
2024-08-30,K242275,syngo.via MI Workflows; Scenium; syngo MBF,"Siemens Medical Solutions USA, Inc.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-08-30,K242300,MI View&GO,"Siemens Medical Solutions USA, Inc.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-08-30,K241847,Imbio PHA (4.0.0),"Imbio, Inc",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-08-30,K241585,uMI Panorama,"Shanghai United Imaging Healthcare Co.,Ltd.",Radiology,KPS,KPS,Radiology,2,"System, Tomography, Computed, Emission",
2024-08-30,K240003,Velmeni for Dentists (V4D),Velmeni Inc.,Radiology,MYN,MYN,Radiology,2,"Analyzer, Medical Image","For information on the MYN device, please see:  https://www.federalregister.gov/documents/2020/01/22/2020-00494/radiology-devices-reclassification-of-medical-image-analyzers"
2024-08-29,K233826,Kosmos,"EchoNous, Inc.",Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2024-08-27,K241684,Overjet Charting Assist,"Overjet, Inc",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-08-22,K241098,NeuroQuant,"CorTechs Labs, Inc.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-08-21,K240290,AiMIFY (1.x),"Subtle Medical, Inc.",Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2024-08-20,K240200,HYDROS Robotic System; HYDROS TRUS Probe; HYDROS Handpiece,Procept BioRobotics,General and Plastic Surgery,PZP,PZP,"General, Plastic Surgery",2,Fluid Jet Removal System,The system is used for removal of prostate tissue with a fluid jet.
2024-08-20,K241496,"Vantage Galan 3T, MRT-3020, V10.0 with AiCE Reconstruction Processing Unit for MR",Canon Medical Systems Corporation,Radiology,LNH,LNH,Radiology,2,"System, Nuclear Magnetic Resonance Imaging",
2024-08-19,K241440,HealthCCSng,Nano-X AI Ltd.,Radiology,JAK,JAK,Radiology,2,"System, X-Ray, Tomography, Computed",
2024-08-16,K233755,HeartKey® Rhythm,B-Secur Limited,Cardiovascular,DQK,DQK,Cardiovascular,2,"Computer, Diagnostic, Programmable",
2024-08-16,K240740,qCT LN Quant,Qure.ai Technologies,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-08-15,K241211,CoLumbo,Smart Soft Healthcare,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-08-15,K241596,uMI Panvivo,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,KPS,KPS,Radiology,2,"System, Tomography, Computed, Emission",
2024-08-12,K242054,OptimMRI (v2),"Rebrain, SAS",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-08-08,K233822,i2Contour,MRIMath LLC,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-08-05,K240953,AI Platform 2.0 (AIP002),Exo Imaging,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-08-05,K233992,Precision AI Surgical Planning System (PAI-SPS),Precision AI Pty Ltd,Orthopedic,QHE,QHE,Orthopedic,2,Shoulder Arthroplasty Implantation System,"Intended to be used to assist in the implantation of a specific shoulder arthroplasty device or a set of specific shoulder arthroplasty devices. Indicated to  include guiding alignment, making or establishing cuts, selecting, sizing,  attaching, positioning or orienting implant components."
2024-08-02,K233984,Acumen Assisted Fluid Management (AFM) Software Feature,"Edwards Lifesciences, LLC",Cardiovascular,QMS,QMS,Cardiovascular,2,Adjunctive Open Loop Fluid Therapy Recommender,The adjunctive open loop fluid therapy recommender is a prescription device that uses software algorithms to analyze cardiovascular vital signs and predict a patients estimated response to fluid therapy. The device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.
2024-08-01,K240301,MammoScreen® (3),Therapixel,Radiology,QDQ,QDQ,Radiology,2,Radiological Computer Assisted Detection/Diagnosis Software For Lesions Suspicious For Cancer,"A radiological computer assisted detection and diagnostic software for suspected lesions is an image processing device intended to aid in the detection, localization, and characterization of lesions suspicious for cancer on acquired medical images (e.g., mammography , MR, CT, ultrasound, radiography). The device detects, identifies and characterizes lesions suspicious for cancer based on features or information extracted from the images, and may provide information about the presence, location, and characteristics of the lesion to the user. Primary diagnostic and patient management decisions are made by the clinical user."
2024-08-01,K234141,AISAP Cardio V1.0,Aisap,Radiology,POK,POK,Radiology,2,Computer-Assisted Diagnostic Software For Lesions Suspicious For Cancer,Assist users in characterizing lesions identified on acquired medical images
2024-08-01,K233731,CardIQ Suite,GE Medical Systems SCS,Radiology,JAK,JAK,Radiology,2,"System, X-Ray, Tomography, Computed",
2024-07-25,K241887,GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US); GI Genius Module 300 (GGM300-US); ColonPRO 4.0 (CPRO40S-US),Cosmo Artificial Intelligence - AI Ltd,Gastroenterology-Urology,QNP,QNP,"Gastroenterology, Urology",2,Gastrointesinal Lesion Software Detection System,A gastrointestinal lesion software detection system is a computer-assisted detection device used in conjunction with endoscopy for the detection of abnormal lesions in the gastrointestinal tract. This device with advanced software algorithms brings attention to images to aid in the detection of lesions. The device may contain hardware to support interfacing with an endoscope.
2024-07-24,K240044,CADDIE,Odin Medical Limited,Gastroenterology-Urology,QNP,QNP,"Gastroenterology, Urology",2,Gastrointesinal Lesion Software Detection System,A gastrointestinal lesion software detection system is a computer-assisted detection device used in conjunction with endoscopy for the detection of abnormal lesions in the gastrointestinal tract. This device with advanced software algorithms brings attention to images to aid in the detection of lesions. The device may contain hardware to support interfacing with an endoscope.
2024-07-22,K240704,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System","Siemens Medical Solutions, USA, Inc.",Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2024-07-17,K241121,MICSI-RMT,"Microstructure Imaging, Inc.",Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2024-07-17,K240845,Rayvolve,AZmed SAS,Radiology,QBS,QBS,Radiology,2,Radiological Computer Assisted Detection/Diagnosis Software For Fracture,"A radiological computer assisted detection and diagnostic software for suspected fracture is an image processing device intended to aid in the detection, localization, and/or characterization of fracture on acquired medical images (e.g. radiography, MR, CT). The device detects, identifies and/or characterizes fracture based on features or information extracted from images, and may provide information about the presence, location, and/or characteristics of the fracture to the user. Primary diagnostic and patient management decisions are made by the clinical user."
2024-07-16,K240944,Swoop® Portable MR Imaging® System,"Hyperfine, Inc.",Radiology,LNH,LNH,Radiology,2,"System, Nuclear Magnetic Resonance Imaging",
2024-07-15,K240285,Huxley SANSA Home Sleep Apnea Test (1000-00),Huxley Medical,Anesthesiology,MNR,MNR,Anesthesiology,2,Ventilatory Effort Recorder,
2024-07-12,K234009,Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX),Mighty Oak Medical,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-07-12,K233457,RUS,Hutom Inc.,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-07-12,K241727,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2024-07-11,K241329,SubtleSYNTH (1.x),"Subtle Medical, Inc.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-07-03,K241508,SKOUT® system,"Iterative Scopes, Inc.",Gastroenterology-Urology,QNP,QNP,"Gastroenterology, Urology",2,Gastrointesinal Lesion Software Detection System,A gastrointestinal lesion software detection system is a computer-assisted detection device used in conjunction with endoscopy for the detection of abnormal lesions in the gastrointestinal tract. This device with advanced software algorithms brings attention to images to aid in the detection of lesions. The device may contain hardware to support interfacing with an endoscope.
2024-07-02,K240736,SMART Bun-Yo-Matic X-Ray,Disior Ltd,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-07-02,K240555,Tyto Insights for Crackles Detection,Tyto Care Ltd.,Anesthesiology,PHZ,PHZ,Anesthesiology,2,Abnormal Breath Sound Device,"The device is intended to measure abnormal breath sound, such as wheeze, rhonchi, and whistling."
2024-07-01,K240353,Hyper Insight - ICH,SK Inc.,Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2024-06-25,K240582,VEA Align; spineEOS,EOS imaging,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-06-21,K240465,O-arm O2 Imaging System,"Medtronic Navigation, Inc",Radiology,OWB,OWB,Radiology,2,Interventional Fluoroscopic X-Ray System,Interventional fluoroscopy
2024-06-21,K233196,Medihub Prostate,JLK Inc.,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-06-21,K233549,Tempus ECG-AF,"Tempus AI, Inc.",Cardiovascular,SBQ,SBQ,Cardiovascular,2,Atrial Fibrillation Risk Prediction Machine Learning-Based Notification Software,Atrial Fibrillation Risk Prediction machine learning-based notification software employs machine learning techniques to suggest the likelihood of a future occurrence of atrial fibrillation for further referral or diagnostic follow-up.
2024-06-21,K233253,eCARTv5 Clinical Deterioration Suite (eCART),"AgileMD, Inc.",Cardiovascular,QNL,QNL,Cardiovascular,2,Medium-Term Adjunctive Predictive Cardiovascular Indicator,The adjunctive predictive cardiovascular indicator is a prescription device that uses software algorithms to analyze cardiovascular vital signs and predict future cardiovascular status or events within a defined medium-term period. This device is intended for adjunctive use with other physical vital sign parameters and patient information and is not intended to independently direct therapy.
2024-06-21,K240631,"V8/XV8/XH8, V7/XV7/XH7, V6/XV6/XH6 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.",Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2024-06-20,K240642,SMART Bun-Yo-Matic CT,Disior Ltd,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-06-14,K233955,Clarius OB AI,Clarius Mobile Health Corp.,Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2024-06-14,K241083,SIS System,"Surgical Information Sciences, Inc.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-06-13,K233925,Relu Creator,Relu BV,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-06-13,K233662,Radiography 7300 C,Philips Medical Systems DMC GmbH,Radiology,KPR,KPR,Radiology,2,"System, X-Ray, Stationary",
2024-06-12,K240516,RS85 Diagnostic Ultrasound System,"Samsung Medison Co., Ltd.",Radiology,IYN,IYN,Radiology,2,"System, Imaging, Pulsed Doppler, Ultrasonic",
2024-06-07,K234042,EFAI Bonesuite XR Bone Age Pro Assessment System (BAP-XR-100),"Ever Fortune.AI Co., Ltd.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-06-07,K241038,Cardiac CT Function Software Application,Circle Cardiovascular Imaging,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-06-07,K231010,Corvair,"AliveCor, Inc.",Cardiovascular,MHX,MHX,Cardiovascular,2,"Monitor, Physiological, Patient(With Arrhythmia Detection Or Alarms)",
2024-06-07,K232035,Impala,"AliveCor, Inc.",Cardiovascular,DPS,DPS,Cardiovascular,2,Electrocardiograph,
2024-05-31,K240612,CINA-VCF,Avicenna.AI,Radiology,QFM,QFM,Radiology,2,Radiological Computer-Assisted Prioritization Software For Lesions,Radiological computer-assisted prioritization software for lesions is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems. The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification.
2024-05-24,K234154,uPMR 790,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,OUO,OUO,Radiology,2,Tomographic Imager Combining Emission Computed Tomography With Nuclear Magnetic Resonance,Imager that generates both both magnetic resonance (mr)  and positron emission tomography (pet) images and provides registration and fusion of these images.  Pet and mr images can be acquired either simultaneously or sequentially.  Anatomical mr images are used for pet attenuation correction.
2024-05-24,K240769,LVivo IQS,DiA Imaging Analysis Ltd.,Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-05-23,K233108,VinDr-Mammo,VinBigData Joint Stock Company,Radiology,QFM,QFM,Radiology,2,Radiological Computer-Assisted Prioritization Software For Lesions,Radiological computer-assisted prioritization software for lesions is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems. The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification.
2024-05-23,K240294,Syngo Carbon Enterprise Access (VA40A),Siemens Healthcare GmbH,Radiology,LLZ,LLZ,Radiology,2,"System, Image Processing, Radiological",
2024-05-21,K233543,YSIO X.pree,Siemens Medical Solutions,Radiology,KPR,KPR,Radiology,2,"System, X-Ray, Stationary",
2024-05-17,DEN230035,DentalMonitoring,Dental Monitoring SAS,Dental,SBC,SBC,Dental,2,Dental Image Analyzer,"A dental image analyzer is a prescription home use device that uses software intended to collect and analyze patient-specific, optical camera-based, intraoral images. The analyses are provided to dental health care professionals as an aid to diagnosis of oral health conditions and/or to monitor treatment progress."
2024-05-17,K233209,uOmnispace.CT,"Shanghai United Imaging Healthcare Co., Ltd.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-05-16,K233625,RAYDENT SW,"RAY Co., Ltd.",Dental,PNN,PNN,Dental,2,Orthodontic Software,The device is software that is to be used for the diagnosis and treatment planning of orthodontic patients and conditions. It may include orthodontic output devices used for the treatment of orthodontics. The device is intended for prescription use only.
2024-05-15,K241112,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH,QIH,Radiology,2,Automated Radiological Image Processing Software,"To provide automated radiological image processing and analysis tools.    Software implementing artificial intelligence including nonadaptive machine learning algorithms trained with clinical and/or artificial data. In these devices, the algorithm training data typically impacts device performance. Adaptive AI algorithms are not within scope of this product code."
2024-05-15,K233247,Heuron ICH,"Heuron Co., Ltd.",Radiology,QAS,QAS,Radiology,2,Radiological Computer-Assisted Triage And Notification Software,Radiological computer-assisted triage and notification software is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems.   The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification .
2024-05-15,DEN230043,Notal Vision Home Optical Coherence Tomography (OCT) System,Notal Vision Inc,Ophthalmic,SAX,SAX,Ophthalmic,2,Home Monitoring Ophthalmic Optical Coherence Tomography (Oct) Imaging Device,A home monitoring ophthalmic imaging device is a prescription self-imaging device that incorporates imaging system hardware and automated image processing and analysis to enable patients at home to provide measurements that are intended for use by a physician for monitoring ophthalmic diseases or conditions in between regularly scheduled assessments.
2024-05-10,K232410,SmartChest,Milvue,Radiology,QFM,QFM,Radiology,2,Radiological Computer-Assisted Prioritization Software For Lesions,Radiological computer-assisted prioritization software for lesions is an image processing device intended to aid in prioritization and triage of time sensitive patient detection and diagnosis based on the analysis of medical images acquired from radiological signal acquisition systems. The device identifies or prioritizes time sensitive imaging for review by prespecified clinical users based on software-based image analysis but does not provide information from the image analysis other than triage and notification.
2024-05-07,K232928,DeepContour (V1.0),"Wisdom Technologies., Inc.",Radiology,QKB,QKB,Radiology,2,Radiological Image Processing Software For Radiation Therapy,"To provide semi-automatic or fully-automated radiological image processing and analysis tools for radiation therapy. Software implementing artificial intelligence (AI) including nonadaptive machine learning algorithms trained with clinical and/or artificial radiological images. In these devices, the algorithm training images  typically impact device performance. AI based radiological image processing software  is intended to be used in the workflow of radiation therapy.  Adaptive AI algorithms are not within the scope of this product code. Primary radiation dose calculation or plan optimization for treatment planning are not within scope of this product code."
2024-05-07,K233864,ASSURE Wearable ECG,"Kestra Medical Technologies, Inc.",Cardiovascular,MWJ,MWJ,Cardiovascular,2,"Electrocardiograph, Ambulatory (Without Analysis)",
