proprietary_name,openfda.device_name,product_code,created_date,cleaned_proprietary_name
"['Digital Pathology Slide Scanner', 'Tissue Processor', 'Slide Dryer', 'Paraffin Trimmer', 'Slide Cabinet', 'Paraffin Dispenser', 'Tissue Flotation Water Bath']","Microtome, Accessories",IDL,2023-12-27,'digital pathology slide scanner' 'tissue processor' 'slide dryer' 'paraffin trimmer' 'slide cabinet' 'paraffin dispenser' 'tissue flotation water bath'
"['Fully Automatic Sample Digestion System', 'Density Meter', 'Benchtop Constant-Temperature Incubator', 'Halogen Moisture Analyzer', 'Elisa Microplate Reader', 'Climate Incubator', 'Plant Growth Chamber', 'IVC System', 'IVC Cage', 'Total Organic Carbon Analyzer', 'Semi-micro Analytical Balance', 'Viscosity Baths', 'Liquid Vacuum Aspiration', 'Constant Temperature Shaking Incubator(Benchtop)', 'Electronic Analytical Balance(Touch panel,Internal Calibration)', 'Stackable CO2 IncubatorTemperature Shaking Incubator', 'Digital Viscometer', 'Tablet Thickness Tester', 'Automatic Glassware Washer', 'Disintegration Tester', 'Tablet Friabilty Tester', 'Isolator', 'Hospital Furniture', 'Graphite Digester', 'Laminar Flow Cabinet', 'Ultrasonic Cleaner', 'Balance', 'Electronic Analytical Balance (Internal Calibration)', 'Chemical Safety Cabinet', 'Constant-Temperature Incubator', 'Sample Concentrator', 'Acid And Alkali Storage Cabinet', 'Liquid Dispenser', 'Microplate Washer', 'Microwave Digestion System', 'Cooling Biochemical Incubator/BOD Incubator', 'Horizontal Laminar Flow Cabinet', 'Lighting Incubator', 'Medicine Stability Testing Chamber', 'Horizontal Shaking Incubator', 'Shaking Incubator', 'Block Heater', 'Homogenizer', 'Mould Incubator', 'Stackable CO2 Incubator', 'Electronic Balance', 'Automatic Egg Incubator', 'Biological Safety Cabinet', 'In Situ Hybridization', 'Tablet Hardness Tester', 'Clarity Tester', 'Fume Hood', 'Pipette', 'Dispensing Booth', 'Bullet Ice Maker', 'Vertical Laminar Flow Cabinet', 'Constant Temperature and Humidity Incubator', 'Dissolution Tester', 'Electronic Analytical Balance (External Calibration)', 'Thermal Cycler', 'Snowflake Ice Maker', 'CO2 Incubator']","Equipment, Laboratory, General Purpose, Labeled Or Promoted For A Specific Medical Use",LXG,2023-12-28,'fully automatic sample digestion system' 'density meter' 'benchtop constant-temperature incubator' 'halogen moisture analyzer' 'elisa microplate reader' 'climate incubator' 'plant growth chamber' 'ivc system' 'ivc cage' 'total organic carbon analyzer' 'semi-micro analytical balance' 'viscosity baths' 'liquid vacuum aspiration' 'constant temperature shaking incubator(benchtop)' 'electronic analytical balance(touch panelinternal calibration)' 'stackable co2 incubatortemperature shaking incubator' 'digital viscometer' 'tablet thickness tester' 'automatic glassware washer' 'disintegration tester' 'tablet friabilty tester' 'isolator' 'hospital furniture' 'graphite digester' 'laminar flow cabinet' 'ultrasonic cleaner' 'balance' 'electronic analytical balance (internal calibration)' 'chemical safety cabinet' 'constant-temperature incubator' 'sample concentrator' 'acid and alkali storage cabinet' 'liquid dispenser' 'microplate washer' 'microwave digestion system' 'cooling biochemical incubator/bod incubator' 'horizontal laminar flow cabinet' 'lighting incubator' 'medicine stability testing chamber' 'horizontal shaking incubator' 'shaking incubator' 'block heater' 'homogenizer' 'mould incubator' 'stackable co2 incubator' 'electronic balance' 'automatic egg incubator' 'biological safety cabinet' 'in situ hybridization' 'tablet hardness tester' 'clarity tester' 'fume hood' 'pipette' 'dispensing booth' 'bullet ice maker' 'vertical laminar flow cabinet' 'constant temperature and humidity incubator' 'dissolution tester' 'electronic analytical balance (external calibration)' 'thermal cycler' 'snowflake ice maker' 'co2 incubator'
"['Digital Blood Pressure Monitor, Model GT-701,GT-701B,GT-701C,GT-701D,GT-701E,GT-701F,GT-701L']","System, Measurement, Blood-Pressure, Non-Invasive",DXN,2023-12-02,'digital blood pressure monitor model gt-701gt-701bgt-701cgt-701dgt-701egt-701fgt-701l'
['CS 6200 Digital Intraoral X-Ray Sensor'],"System, X-Ray, Extraoral Source, Digital",MUH,2023-04-22,'cs 6200 digital intraoral x-ray sensor'
['MSK Health Platform'],"Interactive Rehabilitation Exercise Device, Prescription Use",QKC,2022-08-04,'msk health platform'
['Unfold AI'],Computer-Assisted Diagnostic Software For Lesions Suspicious For Cancer,POK,2022-12-02,'unfold ai'
"['3D Video Digital Operating Microscopy System / VOMS-202D', '3D Video Digital Operating Microscopy System / VOMS-400, VOMS-400 OPH']","Microscope, Surgical",EPT,2023-04-24,'3d video digital operating microscopy system / voms-202d' '3d video digital operating microscopy system / voms-400 voms-400 oph'
"['Telcare Cloud', 'Telcare', 'BioTel Care BGM', 'BioTel Care Blood Glucose Monitoring System', 'Telcare BGM', 'Telcare Blood Glucose Monitoring System', 'Philips Ambulatory Virtual Care Blood Glucose Monitoring System']","Calculator/Data Processing Module, For Clinical Use",JQP,2023-11-06,'telcare cloud' 'telcare' 'biotel care bgm' 'biotel care blood glucose monitoring system' 'telcare bgm' 'telcare blood glucose monitoring system' 'philips ambulatory virtual care blood glucose monitoring system'
"['Telcare Cloud', 'Telcare', 'BioTel Care BGM', 'BioTel Care Blood Glucose Monitoring System', 'Telcare BGM', 'Telcare Blood Glucose Monitoring System', 'Philips Ambulatory Virtual Care Blood Glucose Monitoring System']","System, Test, Blood Glucose, Over The Counter",NBW,2023-11-06,'telcare cloud' 'telcare' 'biotel care bgm' 'biotel care blood glucose monitoring system' 'telcare bgm' 'telcare blood glucose monitoring system' 'philips ambulatory virtual care blood glucose monitoring system'
"['Telcare Cloud', 'Telcare', 'BioTel Care BGM', 'BioTel Care Blood Glucose Monitoring System', 'Telcare BGM', 'Telcare Blood Glucose Monitoring System', 'Philips Ambulatory Virtual Care Blood Glucose Monitoring System']",Single (Specified) Analyte Controls (Assayed And Unassayed),JJX,2023-11-06,'telcare cloud' 'telcare' 'biotel care bgm' 'biotel care blood glucose monitoring system' 'telcare bgm' 'telcare blood glucose monitoring system' 'philips ambulatory virtual care blood glucose monitoring system'
"['Telcare Cloud', 'Telcare', 'BioTel Care BGM', 'BioTel Care Blood Glucose Monitoring System', 'Telcare BGM', 'Telcare Blood Glucose Monitoring System', 'Philips Ambulatory Virtual Care Blood Glucose Monitoring System']","Glucose Oxidase, Glucose",CGA,2023-11-06,'telcare cloud' 'telcare' 'biotel care bgm' 'biotel care blood glucose monitoring system' 'telcare bgm' 'telcare blood glucose monitoring system' 'philips ambulatory virtual care blood glucose monitoring system'
['BD Epilor\x99 Plastic LOR 7 mL with luer slip tip syringe'],Anesthesia Conduction Kit,CAZ,2023-07-03,'bd epilor\x99 plastic lor 7 ml with luer slip tip syringe'
"['Susol® Digital Tourniquets Small Orange (Pack of 50)', 'Susol® Ribbon Tourniquet', 'Susol® Digital Tourniquets Medium Green (Pack of 50)', 'Susol® Digital Tourniquets Large Blue (Pack of 50)']","Tourniquet, Nonpneumatic",GAX,2023-06-27,'susol® digital tourniquets small orange (pack of 50)' 'susol® ribbon tourniquet' 'susol® digital tourniquets medium green (pack of 50)' 'susol® digital tourniquets large blue (pack of 50)'
['MTS Dispenser (0.5 mL and 1 mL)'],"Supplies, Blood-Bank",KSS,2022-12-21,'mts dispenser (0.5 ml and 1 ml)'
['Medstreaming Medical Office Software'],"System, Image Processing, Radiological",LLZ,2023-12-04,'medstreaming medical office software'
"['Clearblue Triple Assurance Pregnancy Tests', 'Clearblue Early Detection Pregnancy Test', 'Clearblue Early & Digital Pregnancy Tests']","Kit, Test, Pregnancy, Hcg, Over The Counter",LCX,2022-09-28,'clearblue triple assurance pregnancy tests' 'clearblue early detection pregnancy test' 'clearblue early & digital pregnancy tests'
"['Digital Thermometer, Model: T23, T24, T25, T26, T28, T28L, T28P']","Thermometer, Electronic, Clinical",FLL,2024-03-04,'digital thermometer model: t23 t24 t25 t26 t28 t28l t28p'
['DTX Studio\x99 Clinic'],"System, Image Processing, Radiological",LLZ,2024-01-16,'dtx studio\x99 clinic'
['DTX Studio\x99 Clinic'],"Analyzer, Medical Image",MYN,2024-01-16,'dtx studio\x99 clinic'
"['PillCam endoscopy system', 'PillCam software', 'PillCam Crohn capsule']","System, Imaging, Gastrointestinal, Wireless, Capsule",NEZ,2023-01-30,'pillcam endoscopy system' 'pillcam software' 'pillcam crohn capsule'
"['PillCam endoscopy system', 'PillCam software', 'PillCam Crohn capsule']",Colon Capsule Imaging System,PGD,2023-01-30,'pillcam endoscopy system' 'pillcam software' 'pillcam crohn capsule'
"['Annalise Enterprise (US)', 'Annalise Enterprise CXR Triage', 'Annalise Enterprise CXR', 'Annalise Enterprise', 'Annalise - Pneumothorax', 'Annalise Enterprise CXR Triage PTX', 'Annalise Enterprise CXR Triage Pneumothorax', 'Annalise Triage CXR', 'Annalise Triage', 'Annalise - PTX', 'Annalise Critical Care AI - Pneumothorax', 'Annalise Critical Care AI - Tension Pneumothorax', 'Annalise Critical Care AI - PTX', 'Annalise - Tension Pneumothorax', 'Annalise Critical Care AI']",Radiological Computer-Assisted Prioritization Software For Lesions,QFM,2022-08-16,'annalise enterprise (us)' 'annalise enterprise cxr triage' 'annalise enterprise cxr' 'annalise enterprise' 'annalise - pneumothorax' 'annalise enterprise cxr triage ptx' 'annalise enterprise cxr triage pneumothorax' 'annalise triage cxr' 'annalise triage' 'annalise - ptx' 'annalise critical care ai - pneumothorax' 'annalise critical care ai - tension pneumothorax' 'annalise critical care ai - ptx' 'annalise - tension pneumothorax' 'annalise critical care ai'
"['Leva ® Pelvic Health System', 'Leva System', 'Leva Pelvic Digital Health System', 'Leva Pelvic Health System']",Perineometer,HIR,2024-04-09,'leva ® pelvic health system' 'leva system' 'leva pelvic digital health system' 'leva pelvic health system'
"['P15 Elite Digital Color Doppler Ultrasound System', 'P20 Elite Digital Color Doppler Ultrasound System', 'P20 Exp Digital Color Doppler Ultrasound System', 'P22 Exp Digital Color Doppler Ultrasound System', 'P25 Elite Digital Color Doppler Ultrasound System', 'P25 Exp Digital Color Doppler Ultrasound System', 'P15 Exp Digital Color Doppler Ultrasound System', 'P22 Elite Digital Color Doppler Ultrasound System']","System, Imaging, Pulsed Echo, Ultrasonic",IYO,2022-09-20,'p15 elite digital color doppler ultrasound system' 'p20 elite digital color doppler ultrasound system' 'p20 exp digital color doppler ultrasound system' 'p22 exp digital color doppler ultrasound system' 'p25 elite digital color doppler ultrasound system' 'p25 exp digital color doppler ultrasound system' 'p15 exp digital color doppler ultrasound system' 'p22 elite digital color doppler ultrasound system'
"['P15 Elite Digital Color Doppler Ultrasound System', 'P20 Elite Digital Color Doppler Ultrasound System', 'P20 Exp Digital Color Doppler Ultrasound System', 'P22 Exp Digital Color Doppler Ultrasound System', 'P25 Elite Digital Color Doppler Ultrasound System', 'P25 Exp Digital Color Doppler Ultrasound System', 'P15 Exp Digital Color Doppler Ultrasound System', 'P22 Elite Digital Color Doppler Ultrasound System']","System, Imaging, Pulsed Doppler, Ultrasonic",IYN,2022-09-20,'p15 elite digital color doppler ultrasound system' 'p20 elite digital color doppler ultrasound system' 'p20 exp digital color doppler ultrasound system' 'p22 exp digital color doppler ultrasound system' 'p25 elite digital color doppler ultrasound system' 'p25 exp digital color doppler ultrasound system' 'p15 exp digital color doppler ultrasound system' 'p22 elite digital color doppler ultrasound system'
"['P15 Elite Digital Color Doppler Ultrasound System', 'P20 Elite Digital Color Doppler Ultrasound System', 'P20 Exp Digital Color Doppler Ultrasound System', 'P22 Exp Digital Color Doppler Ultrasound System', 'P25 Elite Digital Color Doppler Ultrasound System', 'P25 Exp Digital Color Doppler Ultrasound System', 'P15 Exp Digital Color Doppler Ultrasound System', 'P22 Elite Digital Color Doppler Ultrasound System']","Transducer, Ultrasonic, Diagnostic",ITX,2022-09-20,'p15 elite digital color doppler ultrasound system' 'p20 elite digital color doppler ultrasound system' 'p20 exp digital color doppler ultrasound system' 'p22 exp digital color doppler ultrasound system' 'p25 elite digital color doppler ultrasound system' 'p25 exp digital color doppler ultrasound system' 'p15 exp digital color doppler ultrasound system' 'p22 elite digital color doppler ultrasound system'
"['Non-AC-Powered Patient Lift', 'ML-11, AIR-11']","Lift, Patient, Non-Ac-Powered",FSA,2025-01-08,'non-ac-powered patient lift' 'ml-11 air-11'
['NextAR TSA Platform'],"System, Image Processing, Radiological",LLZ,2023-10-30,'nextar tsa platform'
['NextAR TSA Platform'],"Shoulder Prosthesis, Reverse Configuration",PHX,2023-10-30,'nextar tsa platform'
['NextAR TSA Platform'],Orthopaedic Surgical Planning And Instrument Guides,PBF,2023-10-30,'nextar tsa platform'
['NextAR TSA Platform'],Orthopedic Stereotaxic Instrument,OLO,2023-10-30,'nextar tsa platform'
"['Landing, Microscopic image scanner software', 'Landing, Digital Slide Image Scanner Software']",Instrumentation For Clinical Multiplex Test Systems,NSU,2023-09-20,'landing microscopic image scanner software' 'landing digital slide image scanner software'
"['Monarch Platform, Urology']","Needle, Catheter",GCB,2022-05-25,'monarch platform urology'
"['Monarch Platform, Urology']","Kit, Nephroscope",FGA,2022-05-25,'monarch platform urology'
"['Monarch Platform, Urology']","Catheter, Nephrostomy",LJE,2022-05-25,'monarch platform urology'
"['Monarch Platform, Urology']","Ureteroscope And Accessories, Flexible/Rigid",FGB,2022-05-25,'monarch platform urology'
"['Monarch Platform, Urology']","System, Irrigation, Urological",LJH,2022-05-25,'monarch platform urology'
"['Invisalign System with Mandibular Advancement \x96 Enhanced Precision Wings', 'Invisalign Express 10', 'Invisalign System - Teen Package', 'Invisalign Touch-Up', 'Invisalign Full', 'Invisalign First-Comprehensive', 'Invisalign Express 5', 'Invisalign System-Comprehensive Phase 2', 'Invisalign Swift', 'Invisalign Go', 'Invisalign System - Express', 'Invisalign System - Lite', 'Attachment Template', 'Invisalign System Orthodontic Appliance', 'Invisalign System', 'Invisalign System - Comprehensive', 'Invisalign Assist', 'Invisalign Lite', '3D Treatment Planning Software - ClinCheck Pro 6', 'Invisalign First-Moderate', 'Invisalign System - Moderate', 'Invisalign Go Plus', 'Invisalign I7', 'Invisalign Teen', 'Invisalign System with Mandibular Advancement \x96 Precision Wings']","Aligner, Sequential",NXC,2022-09-21,'invisalign system with mandibular advancement \x96 enhanced precision wings' 'invisalign express 10' 'invisalign system - teen package' 'invisalign touch-up' 'invisalign full' 'invisalign first-comprehensive' 'invisalign express 5' 'invisalign system-comprehensive phase 2' 'invisalign swift' 'invisalign go' 'invisalign system - express' 'invisalign system - lite' 'attachment template' 'invisalign system orthodontic appliance' 'invisalign system' 'invisalign system - comprehensive' 'invisalign assist' 'invisalign lite' '3d treatment planning software - clincheck pro 6' 'invisalign first-moderate' 'invisalign system - moderate' 'invisalign go plus' 'invisalign i7' 'invisalign teen' 'invisalign system with mandibular advancement \x96 precision wings'
"['Invisalign Express 10', 'Invisalign System - Lite', 'Invisalign Go Express', 'Invisalign Access', 'Attachment Template', 'Invisalign Go Plus', 'Invisalign System - Teen Package', 'Invisalign Teen', 'Invisalign System', '3D Treatment Planning Software - ClinCheck Pro 6', 'Invisalign Touch-Up', 'Invisalign System - Express', 'Invisalign Express 5', 'Invisalign System - Comprehensive Phase 2', 'Invisalign Lite', 'Invisalign i7', 'iGo Plus', 'Invisalign System - Comprehensive', 'Invisalign First - Comprehensive', 'Invisalign Assist', 'iGo', 'Invisalign Go', 'Invisalign Full', 'Invisalign System - Moderate']","Aligner, Sequential",NXC,2024-07-03,'invisalign express 10' 'invisalign system - lite' 'invisalign go express' 'invisalign access' 'attachment template' 'invisalign go plus' 'invisalign system - teen package' 'invisalign teen' 'invisalign system' '3d treatment planning software - clincheck pro 6' 'invisalign touch-up' 'invisalign system - express' 'invisalign express 5' 'invisalign system - comprehensive phase 2' 'invisalign lite' 'invisalign i7' 'igo plus' 'invisalign system - comprehensive' 'invisalign first - comprehensive' 'invisalign assist' 'igo' 'invisalign go' 'invisalign full' 'invisalign system - moderate'
"['Invisalign Express 10', 'Invisalign System - Lite', 'Invisalign Go Express', 'Invisalign Access', 'Attachment Template', 'Invisalign Go Plus', 'Invisalign System - Teen Package', 'Invisalign Teen', 'Invisalign System', '3D Treatment Planning Software - ClinCheck Pro 6', 'Invisalign Touch-Up', 'Invisalign System - Express', 'Invisalign Express 5', 'Invisalign System - Comprehensive Phase 2', 'Invisalign Lite', 'Invisalign i7', 'iGo Plus', 'Invisalign System - Comprehensive', 'Invisalign First - Comprehensive', 'Invisalign Assist', 'iGo', 'Invisalign Go', 'Invisalign Full', 'Invisalign System - Moderate']",Orthodontic Software,PNN,2024-07-03,'invisalign express 10' 'invisalign system - lite' 'invisalign go express' 'invisalign access' 'attachment template' 'invisalign go plus' 'invisalign system - teen package' 'invisalign teen' 'invisalign system' '3d treatment planning software - clincheck pro 6' 'invisalign touch-up' 'invisalign system - express' 'invisalign express 5' 'invisalign system - comprehensive phase 2' 'invisalign lite' 'invisalign i7' 'igo plus' 'invisalign system - comprehensive' 'invisalign first - comprehensive' 'invisalign assist' 'igo' 'invisalign go' 'invisalign full' 'invisalign system - moderate'
"['Navigation Software Spine& Trauma 3D', 'Spine & Trauma Navigation System', 'Elements Screw Planning Spine', 'Spine & Trauma 3D Navigation', 'Spine Planning', 'Elements Spine Screw Planning', 'INSTRUMENT ADAPTER CLAMP STARLINK SIZE XL', 'DRILL BIT 3.2 MM AO SHANK DEPTH CONTROL', 'DRILL BIT 2.6 MM AO SHANK', 'DRILL BIT 3.2 MM AO SHANK', 'ADAPTER LONG FOR PATIENT REFERENCE CLAMP', 'DRILL BIT 2.4 MM AO SHANK', 'DRILL BIT 4.5 MM AO SHANK', 'INSTRUMENT ADAPTER CLAMP STARLINK SIZE M', 'DRILL BIT 2.6 MM DEPTH CONTROL (200 MM)', 'DRILL BIT 2.4 MM AO SHANK DEPTH CONTROL', 'INSTRUMENT ADAPTER CLAMP STARLINK SIZE S', 'DRILL BIT 2.6 MM AO SHANK DEPTH CONTROL', 'INSTRUMENT ADAPTER CLAMP STARLINK SOFTGRIP SIZE XL', 'INSTRUMENT ADAPTER CLAMP STARLINK SIZE L', 'DRILL BIT 3.2 MM DEPTH CONTROL (200 MM)', 'INSTRUMENT ADAPTER CLAMP STARLINK SOFTGRIP SIZE L']",Orthopedic Stereotaxic Instrument,OLO,2022-04-25,'navigation software spine& trauma 3d' 'spine & trauma navigation system' 'elements screw planning spine' 'spine & trauma 3d navigation' 'spine planning' 'elements spine screw planning' 'instrument adapter clamp starlink size xl' 'drill bit 3.2 mm ao shank depth control' 'drill bit 2.6 mm ao shank' 'drill bit 3.2 mm ao shank' 'adapter long for patient reference clamp' 'drill bit 2.4 mm ao shank' 'drill bit 4.5 mm ao shank' 'instrument adapter clamp starlink size m' 'drill bit 2.6 mm depth control (200 mm)' 'drill bit 2.4 mm ao shank depth control' 'instrument adapter clamp starlink size s' 'drill bit 2.6 mm ao shank depth control' 'instrument adapter clamp starlink softgrip size xl' 'instrument adapter clamp starlink size l' 'drill bit 3.2 mm depth control (200 mm)' 'instrument adapter clamp starlink softgrip size l'
"['Luxury Urine Bag 2000 ml, Sterile']","Bag, Urine Collection, Leg, For External Use, Sterile",FAQ,2024-04-17,'luxury urine bag 2000 ml sterile'
"['MammoScreen®', 'Genius AI® Detection PRO', 'MammoScreen® 3', 'MammoScreen 3', 'MammoScreen']",Radiological Computer Assisted Detection/Diagnosis Software For Lesions Suspicious For Cancer,QDQ,2024-08-19,'mammoscreen®' 'genius ai® detection pro' 'mammoscreen® 3' 'mammoscreen 3' 'mammoscreen'
"['MammoScreen®', 'Genius AI® Detection PRO', 'MammoScreen® 3', 'MammoScreen 3', 'MammoScreen']",Automated Radiological Image Processing Software,QIH,2024-08-19,'mammoscreen®' 'genius ai® detection pro' 'mammoscreen® 3' 'mammoscreen 3' 'mammoscreen'
['EK Digital Abutments'],"Abutment, Implant, Dental, Endosseous",NHA,2024-05-30,'ek digital abutments'
['Spectrum IQ Infusion System with Dose IQ Safety Software'],Infusion Safety Management Software,PHC,2023-04-06,'spectrum iq infusion system with dose iq safety software'
['Spectrum IQ Infusion System with Dose IQ Safety Software'],"Pump, Infusion",FRN,2023-04-06,'spectrum iq infusion system with dose iq safety software'
['Runyes Dental Digital Imaging Sensor'],"System, X-Ray, Extraoral Source, Digital",MUH,2025-02-24,'runyes dental digital imaging sensor'
['Unscented Tampon Compact Digital'],"Tampon, Menstrual, Unscented",HEB,2023-12-08,'unscented tampon compact digital'
['Alio Remote Monitoring Platform'],"Stethoscope, Electronic",DQD,2024-02-15,'alio remote monitoring platform'
['Alio Remote Monitoring Platform'],"Transmitters And Receivers, Physiological Signal, Radiofrequency",DRG,2024-02-15,'alio remote monitoring platform'
"['Materialise Knee Guides', 'Materialise Knee Planner', 'Materialise Knee Platform', 'Materialise TKA Guides', 'Zimmer Patient Specific Instruments', 'Zimmer Patient Specific Instruments Planner', 'Materialise TKA Guide Planner', 'Signature Guides', 'Materialise TKA Guides and Models', 'Materialise Knee Guide System', 'SurgiCase Knee Planner', 'Lima Personalized Surgical Instruments', 'BKS Total PSI', 'Materialise SurgiCase Knee Module', 'Signature Planner', 'Materialise TKA Guide System', 'Zimmer Biomet Patient Specific Instruments', 'Materialise SurgiCase Knee Planner']",Knee Arthroplasty Implantation System,OOG,2022-07-26,'materialise knee guides' 'materialise knee planner' 'materialise knee platform' 'materialise tka guides' 'zimmer patient specific instruments' 'zimmer patient specific instruments planner' 'materialise tka guide planner' 'signature guides' 'materialise tka guides and models' 'materialise knee guide system' 'surgicase knee planner' 'lima personalized surgical instruments' 'bks total psi' 'materialise surgicase knee module' 'signature planner' 'materialise tka guide system' 'zimmer biomet patient specific instruments' 'materialise surgicase knee planner'
